clone	size
1523	32
1524	9
1525	39
1526	49
1527	41
1528	9
1529	20
1530	58
1531	33
1532	11
1533	4
1534	7
1535	2
1536	12
1537	13
1538	2
1539	3
1540	3
1541	42
1542	37
1543	21
1544	1
1545	12
1546	19
1547	2
1548	10
1549	32
1550	13
1551	3
1552	34
1553	1
1554	29
1555	16
1556	4
1557	6
1558	1
1559	7
1560	20
1561	26
1562	7
1563	25
1564	7
1565	14
1566	33
1567	1
1568	15
1569	3
1570	14
1571	21
1572	22
1573	11
1574	32
1575	38
1576	36
1577	7
1578	14
1579	4
1580	6
1581	10
1582	8
1583	14
1584	28
1585	88
1586	24
1587	18
1588	10
1589	2
1590	36
1591	3
1592	14
1593	19
1594	13
1595	26
1596	17
1597	14
1598	37
1599	26
1600	23
1601	3
1602	12
1603	26
1604	2
1605	4
1606	7
1607	11
1608	53
1609	5
1610	5
1611	68
1612	30
1613	30
1614	1
1615	1
1616	24
1617	1
1618	4
1619	86
1620	6
1621	23
1622	5
1623	16
1624	4
1625	16
1626	12
1627	1
1628	3
1629	9
1630	23
1631	5
1632	7
1633	5
1634	9
1635	14
1636	5
1637	22
1638	125
1639	32
1640	3
1641	103
1642	2
1643	22
1644	4
1645	9
1646	32
1647	41
1648	49
1649	10
1650	3
1651	37
1652	23
1653	7
1654	10
1655	30
1656	23
1657	113
1658	48
1659	10
1660	2
1661	12
1662	16
1663	43
1664	1
1665	56
1666	23
1667	3
1668	5
1669	10
1670	8
1671	14
1672	14
1673	23
1674	50
1675	1
1676	43
1677	43
1678	6
1679	22
1680	40
1681	15
1682	31
1683	13
1684	6
1685	5
1686	22
1687	10
1688	19
1689	26
1690	11
1691	29
1692	4
1693	44
1694	8
1695	8
1696	25
1697	14
1698	60
1699	2
1700	2
1701	16
1702	26
1703	5
1704	68
1705	26
1706	17
1707	62
1708	8
1709	14
1710	14
1711	5
1712	9
1713	29
1714	17
1715	16
1716	70
1717	13
1718	5
1719	38
1720	32
1721	78
1722	11
1723	7
1724	4
1725	38
1726	35
1727	20
1728	1
1729	4
1730	33
1731	17
1732	2
1733	28
1734	5
1735	10
1736	75
1737	26
1738	42
1739	12
1740	1
1741	40
1742	36
1743	13
1744	31
1745	10
1746	23
1747	1
1748	38
1749	61
1750	6
1751	22
1752	22
1753	6
1754	10
1755	72
1756	11
1757	45
1758	2
1759	92
1760	5
1761	96
1762	16
1763	3
1764	69
1765	20
1766	20
1767	1
1768	1
1769	4
1770	37
1771	11
1772	12
1773	23
1774	5
1775	39
1776	7
1777	3
1778	9
1779	49
1780	14
1781	4
1782	36
1783	29
1784	8
1785	1
1786	19
1787	23
1788	13
1789	33
1790	30
1791	17
1792	16
1793	8
1794	29
1795	21
1796	44
1797	2
1798	3
1799	12
1800	67
1801	11
1802	3
1803	27
1804	69
1805	42
1806	4
1807	6
1808	24
1809	69
1810	26
1811	5
1812	3
1813	1
1814	34
1815	31
1816	2
1817	15
1818	27
1819	24
1820	26
1821	20
1822	17
1823	1
1824	2
1825	90
1826	70
1827	44
1828	12
1829	19
1830	7
1831	15
1832	13
1833	22
1834	9
1835	16
1836	15
1837	22
1838	11
1839	6
1840	21
1841	28
1842	28
1843	29
1844	13
1845	12
1846	15
1847	58
1848	14
1849	41
1850	9
1851	3
1852	3
1853	38
1854	56
1855	6
1856	9
1857	27
1858	33
1859	8
1860	18
1861	6
1862	19
1863	6
1864	16
1865	92
1866	41
1867	20
1868	48
1869	57
1870	13
1871	13
1872	39
1873	2
1874	52
1875	3
1876	22
1877	7
1878	18
1879	1
1880	80
1881	27
1882	2
1883	4
1884	23
1885	7
1886	30
1887	10
1888	4
1889	11
1890	29
1891	21
1892	27
1893	11
1894	56
1895	34
1896	5
1897	21
1898	56
1899	7
1900	11
1901	15
1902	31
1903	12
1904	22
1905	15
1906	4
1907	40
1908	24
1909	2
1910	9
1911	39
1912	14
1913	53
1914	1
1915	10
1916	62
1917	1
1918	5
1919	16
1920	18
1921	20
1922	5
1923	23
1924	8
1925	5
1926	17
1927	18
1928	9
1929	21
1930	24
1931	4
1932	29
1933	1
1934	7
1935	6
1936	86
1937	29
1938	1
1939	31
1940	21
1941	3
1942	36
1943	70
1944	25
1945	31
1946	5
1947	4
1948	30
1949	24
1950	18
1951	3
1952	1
1953	110
1954	49
1955	16
1956	17
1957	15
1958	17
1959	4
1960	14
1961	73
1962	6
1963	13
1964	30
1965	18
1966	2
1967	19
1968	5
1969	4
1970	1
1971	7
1972	3
1973	7
1974	19
1975	6
1976	36
1977	15
1978	23
1979	39
1980	37
1981	6
1982	2
1983	1
1984	17
1985	5
1986	34
1987	7
1988	31
1989	56
1990	10
1991	12
1992	7
1993	97
1994	21
1995	12
1996	18
1997	28
1998	15
1999	26
2000	32
2001	43
2002	26
2003	11
2004	3
2005	24
2006	49
2007	22
2008	10
2009	26
2010	11
2011	2
2012	11
2013	14
2014	56
2015	12
2016	49
2017	28
2018	9
2019	44
2020	47
2021	5
2022	3
2023	19
2024	6
2025	16
2026	8
2027	26
2028	22
2029	24
2030	44
2031	22
2032	3
2033	36
2034	49
2035	7
2036	64
2037	27
2038	2
2039	7
2040	31
2041	35
2042	35
2043	27
2044	4
2045	9
2046	18
2047	5
2048	1
2049	55
2050	7
2051	10
2052	57
2053	1
2054	51
2055	3
2056	47
2057	7
2058	14
2059	11
2060	6
2061	5
2062	140
2063	6
2064	44
2065	21
2066	47
2067	2
2068	1
2069	2
2070	16
2071	46
2072	13
2073	69
2074	1
2075	35
2076	1
2077	33
2078	68
2079	2
2080	57
2081	2
2082	6
2083	2
2084	38
2085	29
2086	5
2087	9
2088	6
2089	4
2090	10
2091	17
2092	30
2093	34
2094	117
2095	9
2096	10
2097	44
2098	5
2099	9
2100	21
2101	5
2102	6
2103	56
2104	27
2105	17
2106	16
2107	11
2108	18
2109	43
2110	12
2111	40
2112	22
2113	8
2114	23
2115	27
2116	14
2117	69
2118	6
2119	2
2120	8
2121	1
2122	33
2123	5
2124	75
2125	2
2126	2
2127	32
2128	29
2129	16
2130	18
2131	6
2132	20
2133	7
2134	41
2135	84
2136	5
2137	42
2138	35
2139	5
2140	8
2141	24
2142	2
2143	9
2144	28
2145	13
2146	7
2147	41
2148	34
2149	20
2150	1
2151	10
2152	54
2153	4
2154	37
2155	20
2156	4
2157	12
2158	5
2159	15
2160	5
2161	12
2162	9
2163	39
2164	36
2165	44
2166	36
2167	18
2168	21
2169	14
2170	19
2171	50
2172	23
2173	13
2174	56
2175	21
2176	38
2177	2
2178	23
2179	3
2180	49
2181	8
2182	6
2183	9
2184	70
2185	10
2186	2
2187	1
2188	23
2189	6
2190	7
2191	10
2192	38
2193	37
2194	6
2195	14
2196	46
2197	30
2198	16
2199	19
2200	2
2201	12
2202	55
2203	31
2204	19
2205	17
2206	8
2207	30
2208	14
2209	1
2210	1
2211	89
2212	4
2213	74
2214	11
2215	20
2216	25
2217	4
2218	7
2219	25
2220	26
2221	22
2222	17
2223	12
2224	12
2225	36
2226	65
2227	38
2228	20
2229	30
2230	47
2231	12
2232	27
2233	15
2234	63
2235	25
2236	3
2237	25
2238	2
2239	25
2240	58
2241	51
2242	54
2243	16
2244	30
2245	19
2246	21
2247	8
2248	16
2249	32
2250	17
2251	45
2252	9
2253	56
2254	21
2255	1
2256	36
2257	17
2258	16
2259	1
2260	2
2261	3
2262	18
2263	14
2264	5
2265	6
2266	7
2267	7
2268	28
2269	23
2270	15
2271	35
2272	33
2273	12
2274	58
2275	18
2276	65
2277	10
2278	80
2279	15
2280	22
2281	49
2282	28
2283	95
2284	7
2285	56
2286	6
2287	30
2288	24
2289	8
2290	3
2291	24
2292	68
2293	11
2294	7
2295	16
2296	9
2297	62
2298	16
2299	3
2300	81
2301	33
2302	49
2303	20
2304	45
2305	10
2306	49
2307	37
2308	38
2309	5
2310	97
2311	15
2312	70
2313	48
2314	69
2315	81
2316	19
2317	9
2318	1
2319	5
2320	56
2321	17
